ProductKey,OrderDateKey,DueDateKey,ShipDateKey,ResellerKey,EmployeeKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
349,20101229,20110110,20110105,676,285,1,100,5,SO43659,1,1,1,"2,024,994","2,024,994",0,0,"18,980,944","18,980,944","2,024,994","1,619,995","506,249",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
350,20101229,20110110,20110105,676,285,1,100,5,SO43659,2,1,3,"2,024,994","6,074,982",0,0,"18,980,944","56,942,832","6,074,982","4,859,986","1,518,746",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
351,20101229,20110110,20110105,676,285,1,100,5,SO43659,3,1,1,"2,024,994","2,024,994",0,0,"18,980,944","18,980,944","2,024,994","1,619,995","506,249",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
344,20101229,20110110,20110105,676,285,1,100,5,SO43659,4,1,1,"2,039,994","2,039,994",0,0,"19,121,544","19,121,544","2,039,994","1,631,995","509,999",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
345,20101229,20110110,20110105,676,285,1,100,5,SO43659,5,1,1,"2,039,994","2,039,994",0,0,"19,121,544","19,121,544","2,039,994","1,631,995","509,999",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
346,20101229,20110110,20110105,676,285,1,100,5,SO43659,6,1,2,"2,039,994","4,079,988",0,0,"19,121,544","38,243,088","4,079,988","326,399","1,019,997",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
347,20101229,20110110,20110105,676,285,1,100,5,SO43659,7,1,1,"2,039,994","2,039,994",0,0,"19,121,544","19,121,544","2,039,994","1,631,995","509,999",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
229,20101229,20110110,20110105,676,285,1,100,5,SO43659,8,1,3,"288,404","865,212",0,0,"317,244","951,732","865,212","69,217","2,163",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
235,20101229,20110110,20110105,676,285,1,100,5,SO43659,9,1,1,"288,404","288,404",0,0,"317,244","317,244","288,404","23,072","0,721",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
218,20101229,20110110,20110105,676,285,1,100,5,SO43659,10,1,6,"5,70","34,20",0,0,"33,963","203,778","34,20","2,736","0,855",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
223,20101229,20110110,20110105,676,285,1,100,5,SO43659,11,1,2,"51,865","10,373",0,0,"57,052","114,104","10,373","0,8298","0,2593",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
220,20101229,20110110,20110105,676,285,1,100,5,SO43659,12,1,4,"201,865","80,746",0,0,"120,278","481,112","80,746","64,597","20,187",4911-403C-98,PO522145787,00:00.0,00:00.0,00:00.0
326,20101229,20110110,20110105,117,285,1,100,5,SO43660,1,1,1,"4,194,589","4,194,589",0,0,"4,131,463","4,131,463","4,194,589","335,567","104,865",6431-4D57-83,PO18850127500,00:00.0,00:00.0,00:00.0
319,20101229,20110110,20110105,117,285,1,100,5,SO43660,2,1,1,"874,794","874,794",0,0,"8,847,083","8,847,083","874,794","699,835","218,699",6431-4D57-83,PO18850127500,00:00.0,00:00.0,00:00.0
300,20101229,20110110,20110105,442,288,1,19,6,SO43661,1,1,1,"809,76","809,76",0,0,"6,990,928","6,990,928","809,76","647,808","20,244",4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
296,20101229,20110110,20110105,442,288,1,19,6,SO43661,2,1,1,"7,147,043","7,147,043",0,0,"6,170,281","6,170,281","7,147,043","571,763","178,676",4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
304,20101229,20110110,20110105,442,288,1,19,6,SO43661,3,1,2,"7,147,043","14,294,086",0,0,"6,170,281","12,340,562","14,294,086","1,143,527","357,352",4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
223,20101229,20110110,20110105,442,288,1,19,6,SO43661,4,1,4,"51,865","20,746",0,0,"57,052","228,208","20,746","16,597","0,5187",4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
232,20101229,20110110,20110105,442,288,1,19,6,SO43661,5,1,4,"288,404","1,153,616",0,0,"317,244","1,268,976","1,153,616","92,289","2,884",4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
293,20101229,20110110,20110105,442,288,1,19,6,SO43661,6,1,2,"7,225,949","14,451,898",0,0,"6,238,403","12,476,806","14,451,898","1,156,152","361,297",4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
348,20101229,20110110,20110105,442,288,1,19,6,SO43661,7,1,3,"2,024,994","6,074,982",0,0,"18,980,944","56,942,832","6,074,982","4,859,986","1,518,746",4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
351,20101229,20110110,20110105,442,288,1,19,6,SO43661,8,1,2,"2,024,994","4,049,988",0,0,"18,980,944","37,961,888","4,049,988","323,999","1,012,497",4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
220,20101229,20110110,20110105,442,288,1,19,6,SO43661,9,1,2,"201,865","40,373",0,0,"120,278","240,556","40,373","32,298","10,093",4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
292,20101229,20110110,20110105,442,288,1,19,6,SO43661,10,1,2,"818,70","1637,40",0,0,"706,811","1,413,622","1637,40","130,992","40,935",4E0A-4F89-AE,PO18473189620,00:00.0,00:00.0,00:00.0
